abbr,r2,r
IND_DEBT_MDN,0.3557021412542975,0.5964076971789495
SATWRMID,0.3523507009549495,0.5935913585581831
NUM45_PRIV,0.34814720773225444,0.5900400051964735
SATWR25,0.3458130303639118,0.5880586963593956
SATWR75,0.3384186100598595,0.5817375783459923
C150_4_POOLED,0.337163015302859,0.5806573992492122
NUM44_PUB,0.3362733374443914,0.579890797861452
CUML_DEBT_P75,0.32910432734399503,0.5736761519742607
C200_4_POOLED_SUPP,0.32062422595327733,0.5662368991449404
C150_4,0.3125438013390536,0.5590561701108875
INC_PCT_LO,0.3107702074581848,-0.5574676739131919
PAR_ED_PCT_1STGEN,0.3070180914265478,-0.5540921326156398
PAR_ED_PCT_PS,0.3070180914265478,0.5540921326156398
FIRST_GEN,0.3070180914265478,-0.5540921326156398
ACTEN25,0.3062666304580465,0.553413616075758
NUM44_PRIV,0.30539392634723234,0.5526245799340022
ACTCMMID,0.3020703160180061,0.5496092393855894
ACTENMID,0.30188367027416163,0.5494394145619348
ACTCM25,0.2988899868508557,0.5467083197198079
CDR3,0.29729375222108007,-0.5452465059228533
C150_L4_POOLED_SUPP,0.29574797492275184,0.5438271553745287
C150_L4_WHITE,0.2956930510702807,0.5437766555032321
C150_L4_POOLED,0.29242100202960747,0.5407596527382637
OPENADMP,0.29140925861275135,0.5398233587135253
ACTMTMID,0.2894208722299832,0.537978505360561
GRAD_DEBT_MDN10YR_SUPP,0.2884867828631981,0.5371096562743944
GRAD_DEBT_MDN_SUPP,0.2884867828631979,0.5371096562743942
GRAD_DEBT_MDN10YR,0.2869276537224565,0.5356562831914291
GRAD_DEBT_MDN,0.28692765372245627,0.5356562831914289
C150_4_WHITE,0.28669201529980193,0.5354362850048565
ACTCM75,0.2865154582654366,0.535271387489969
C150_L4_BLACK,0.282591707281772,0.5315935545901324
ACTMT25,0.2812607636431624,0.530340233852913
ACTMT75,0.2735093910177506,0.522981253027057
ACTEN75,0.26919305547853156,0.5188381785089948
APPL_SCH_PCT_GE2,0.2683438686895056,0.5180191779167115
HI_INC_RPY_3YR_RT,0.26826839288523263,0.5179463223976328
HI_INC_RPY_3YR_RT_SUPP,0.2668010756431976,0.5165279040315224
SAT_AVG,0.2662712417195905,0.5160147688967734
FEMALE_RPY_3YR_RT_SUPP,0.2622155175585466,0.5120698366029253
PELL_RPY_3YR_RT_SUPP,0.2617889716186396,0.5116531751280741
FEMALE_RPY_3YR_RT,0.2617292829708452,0.5115948425960187
PELL_RPY_3YR_RT,0.26163309021280634,0.5115008213217319
RPY_3YR_RT_SUPP,0.2581073607659476,0.5080426761266691
C150_L4,0.2580373294694855,0.5079737487995669
RPY_3YR_RT,0.2577476475311867,0.5076885339764792
C200_L4_POOLED_SUPP,0.2568973037573843,0.5068503761046097
SATVRMID,0.2568028040605273,0.5067571450512832
SATVR25,0.2566791471263668,0.5066351222787133
ACTWRMID,0.25532925511749505,0.5053011528954738
PPTUG_EF,0.25363127207627995,-0.5036181808436625
NPT44_PRIV,0.25237396136977963,0.5023683522772704
DEP_INC_PCT_M1,0.2509170034833122,-0.5009161641266053
HI_INC_RPY_5YR_RT,0.2493383749347667,0.4993379366068301
CIP50BACHL,0.24724706506156122,0.4972394443943091
PELL_RPY_5YR_RT,0.24175982668876325,0.4916907836117769
RPY_5YR_RT,0.2393887117134675,0.48927365728543726
LO_INC_RPY_3YR_RT_SUPP,0.23888977329350627,0.48876351469141627
ACTWR75,0.2386228685547378,0.48849039760750446
LO_INC_RPY_3YR_RT,0.2383560597505581,0.4882172259871195
SATVR75,0.23811243313326017,0.4879676558269617
NOTFIRSTGEN_RPY_3YR_RT,0.2376053366847388,0.4874477784180976
NOTFIRSTGEN_RPY_3YR_RT_SUPP,0.23757053213374182,0.48741207631094025
NUM43_PRIV,0.23685997189790398,0.4866826192683523
MALE_RPY_3YR_RT_SUPP,0.2351296611026915,0.4849017025157692
MALE_RPY_3YR_RT,0.23362593908109414,0.4833486723692268
FEMALE_RPY_5YR_RT,0.23252134191170518,0.4822046680733246
SATMTMID,0.2282811241181066,0.4777877396063095
SATMT25,0.22798006925673397,0.4774725848221382
RPY_7YR_RT,0.2266686256795878,0.4760972859401614
C150_4_BLACK,0.22510907166818528,0.4744566067283554
HIGHDEG,0.22234950487786823,0.47153950510839304
NUM43_PUB,0.22222561520205977,0.47140811957587214
WDRAW_DEBT_MDN,0.2213242658635818,0.47045113015443146
HI_INC_RPY_7YR_RT,0.2213233548208272,0.47045016188840577
LO_INC_RPY_5YR_RT,0.2209587247988939,0.4700624690388437
NONCOM_RPY_3YR_RT_SUPP,0.2193146111732561,0.4683103791005022
NONCOM_RPY_3YR_RT,0.21891044891907102,0.46787866901481096
ICLEVEL,0.21792512907626777,-0.46682451636162786
MALE_RPY_5YR_RT,0.2177953118808632,0.46668545282755836
PAR_ED_PCT_HS,0.21644509181981994,-0.46523659767887987
CIP38BACHL,0.21615511227434545,0.4649248458346203
FEMALE_RPY_7YR_RT,0.21464357675958287,0.46329642428965806
C150_4_2MOR,0.21291995380242132,0.46143250189212
NOTFIRSTGEN_RPY_5YR_RT,0.21289238971197413,0.46140263297035283
SATMT75,0.2125772002287009,0.46106095066563696
SAT_AVG_ALL,0.21189604093971307,0.46032167116019324
C100_L4,0.20906762165097764,0.45723912961488505
PELL_RPY_7YR_RT,0.20733200786129383,0.4553372462925626
DEP_INC_PCT_LO,0.2058290756109218,-0.4536838939293766
CIP23BACHL,0.20375490096399237,0.45139218088486244
PREDDEG,0.20079837895666408,0.4481053212768892
INC_PCT_H1,0.20055278559143738,0.4478312021190991
CIP26BACHL,0.20033731113022987,0.4475905619315826
NONCOM_RPY_5YR_RT,0.1998829241334358,0.4470826815404907
INEXPFTE,0.19901202473549126,0.4461076380600216
CIP27BACHL,0.19827643372880957,0.44528242018836717
FIRSTGEN_RPY_3YR_RT_SUPP,0.19635065629395287,0.44311472136902974
FIRSTGEN_RPY_3YR_RT,0.19593359476362965,0.4426438690003846
MALE_RPY_7YR_RT,0.19577175687958487,0.44246102300607776
PCTFLOAN,0.1956046805587629,0.44227217927285783
IND_INC_PCT_H2,0.194972609737208,0.4415570288617406
ACTWR25,0.19420688081636606,0.44068909768267023
NOTFIRSTGEN_RPY_7YR_RT,0.1932790960531612,0.43963518518558226
NOPELL_RPY_3YR_RT,0.19320208084901244,0.4395475865580568
CIP40BACHL,0.19268050959071165,0.43895388093820475
NOPELL_RPY_3YR_RT_SUPP,0.1924635764301992,0.4387067088958171
CIP54BACHL,0.1912810802582349,0.4373569254719021
CIP15ASSOC,0.1911043891325528,-0.4371548800282948
CUML_DEBT_P90,0.18874014085635976,0.434442333177097
LO_INC_RPY_7YR_RT,0.18821851381514504,0.43384157686319674
CIP47ASSOC,0.18672889980713936,-0.43212139475746786
C150_4_HISP,0.18607049805504558,0.43135889703939756
C150_L4_HISP,0.18392229269208094,0.42886162417740403
CIP51ASSOC,0.18137015742314702,-0.4258757535046425
FIRSTGEN_RPY_5YR_RT,0.18030813715174895,0.42462705654697624
CONTROL,0.18025547288774132,0.4245650396437998
CCBASIC,0.17833476182085237,0.4222970066444378
CCSIZSET,0.17810029552400575,0.4220193070512364
PCIP45,0.1777954513865905,0.42165797915679304
CIP51CERT2,0.17702362380126677,-0.4207417542879085
CIP16BACHL,0.17525200540913446,0.41863110898395317
MD_INC_RPY_3YR_RT,0.17490941288162776,0.4182217269363558
MD_INC_RPY_3YR_RT_SUPP,0.17490941288162776,0.4182217269363558
